scientificname,valid_name,manual
Dipsastrea faviaformis,NA,Dipsastraea faviaformis
Acanthastrea hemprichi,NA,Acanthastrea hemprichii
Homophyllia hillae,NA,Acanthastrea hillae
Acropora haimei,NA,Madropora haimei
Acropora khayranensis,NA,Acropora khayranensis
Acropora loveli,NA,Acropora lovelli
Acropora paragemmifera,NA,Acropora paragemmifera
Anthemiphyllia pateracostata,NA,NA
Anthemiphyllia paterapatera,NA,NA
Balanophyllia bonaespei,NA,Balanophyllia (Balanophyllia) bonaespei
Balanophyllia carinata,NA,Balanophyllia (Eupsammia) carinata
Balanophyllia chnous,NA,Balanophyllia (Balanophyllia) chnous
Balanophyllia corniculans,NA,Balanophyllia (Balanophyllia) corniculans
Balanophyllia crassiseptum,NA,Balanophyllia (Balanophyllia) crassiseptum
Balanophyllia crassitheca,NA,Balanophyllia (Balanophyllia) crassitheca
Balanophyllia dubia,NA,Balanophyllia (Balanophyllia) dubia
Balanophyllia elliptica,NA,Balanophyllia (Balanophyllia) bairdiana
Balanophyllia gemmifera,NA,Balanophyllia (Balanophyllia) gemmifera
Balanophyllia generatrix,NA,Balanophyllia (Balanophyllia) generatrix
Balanophyllia iwayamaensis,NA,Balanophyllia (Balanophyllia) iwayamaensis
Balanophyllia malouiensis,NA,Balanophyllia (Balanophyllia) malouinensis
Balanophyllia merguiensis,NA,Balanophyllia (Balanophyllia) merguiensis
Balanophyllia regalis,NA,Balanophyllia (Eupsammia) regalis
Balanophyllia scabrosa,NA,Balanophyllia (Balanophyllia) scabrosa
Balanophyllia serrata,NA,Balanophyllia (Balanophyllia) serrata
Balanophyllia teres,NA,Balanophyllia (Balanophyllia) japonica
Caryophyllia alberti,NA,Caryophyllia (Caryophyllia) alberti
Caryophyllia ambrosiaambrosia,NA,NA
Caryophyllia ambrosiacaribbeana,NA,NA
Caryophyllia cincticulatus,NA,NA
Caryophyllia cornulum,NA,Caryophyllia (Caryophyllia) cornulum
Caryophyllia corrugata,NA,Caryophyllia (Caryophyllia) corrugata
Caryophyllia decamera,NA,Caryophyllia (Acanthocyathus) decamera
Caryophyllia dentata,NA,Caryophyllia (Acanthocyathus) dentata
Caryophyllia eltaninae,NA,Caryophyllia (Caryophyllia) eltaninae
Caryophyllia foresti,NA,Caryophyllia (Caryophyllia) foresti
Caryophyllia horologium,NA,Caryophyllia (Caryophyllia) horologium
Caryophyllia jogashimaensis,NA,Caryophyllia (Caryophyllia) jogashimaensis
Caryophyllia karubarica,NA,Caryophyllia (Acanthocyathus) karubarica
Caryophyllia marmorea,NA,Caryophyllia (Caryophyllia) marmorea
Caryophyllia octonaria,NA,Caryophyllia (Caryophyllia) octonaria
Caryophyllia pauciseptata,NA,Caryophyllia paucipaliata
Caryophyllia quangdongensis,NA,Caryophyllia (Acanthocyathus) quangdongensis
Caryophyllia scillaemorpha,NA,Caryophyllia (Caryophyllia) ephyala
Caryophyllia secta,NA,Caryophyllia (Caryophyllia) secta
Caryophyllia spinigera,NA,Caryophyllia (Acanthocyathus) spinigera
Caryophyllia squiresi,NA,Caryophyllia (Caryophyllia) squiresi
Caryophyllia stellula,NA,Caryophyllia (Caryophyllia) stellula
Caryophyllia zopyros,NA,Caryophyllia (Caryophyllia) zopyros
Coenocyathus parvula,NA,Coenocyathus parvulus
Culicia tenellanatalensis,NA,NA
Culicia tenellatenella,NA,NA
Deltocyathus vaughani,NA,Deltocyathus vaughani
Echinopora grandicula,NA,Echinopora grandicula
Euphyllia fimbriata,NA,Madrepora fimbriata
Flabellum apertumapertum,NA,NA
Flabellum apertumborealis,NA,NA
Flabellum arcuatile,NA,Flabellum (Flabellum) arcuatile
Flabellum atlanticum,NA,Flabellum (Flabellum) atlanticum
Flabellum flexuosum,NA,Flabellum (Flabellum) flexuosum
Flabellum floridanum,NA,Flabellum (Flabellum) floridanum
Flabellum folkesoni,NA,Flabellum (Flabellum) folkesoni
Flabellum gardineri,NA,Flabellum (Flabellum) gardineri
Flabellum hoffmeisteri,NA,Flabellum (Ulocyathus) hoffmeisteri
Flabellum impensum,NA,Flabellum (Flabellum) impensum
Flabellum lamellulosum,NA,Flabellum (Flabellum) lamellulosum
Flabellum marcus,NA,Flabellum (Ulocyathus) marcus
Flabellum marenzelleri,NA,Flabellum (Ulocyathus) marenzelleri
Flabellum messum,NA,Flabellum (Ulocyathus) messum
Flabellum politum,NA,Flabellum (Flabellum) politum
Flabellum sexcostatum,NA,Flabellum (Ulocyathus) sexcostatum
Flabellum transversaleconicum,NA,NA
Flabellum transversaletransversale,NA,NA
Flabellum transversaletriangulare,NA,NA
Flabellum vaughani,NA,Flabellum (Flabellum) vaughani
Fungiacyathus dennanti,NA,Fungiacyathus (Bathyactis) dennanti
Fungiacyathus fissidiscus,NA,Fungiacyathus (Bathyactis) fissidiscus
Fungiacyathus fissilis,NA,Fungiacyathus (Bathyactis) fissilis
Fungiacyathus granulosus,NA,Fungiacyathus (Bathyactis) granulosus
Fungiacyathus margaretae,NA,Fungiacyathus (Bathyactis) margaretae
Fungiacyathus multicarinatus,NA,Fungiacyathus (Fungiacyathus) multicarinatus
Fungiacyathus paliferus,NA,Fungiacyathus (Fungiacyathus) paliferus
Fungiacyathus pliciseptus,NA,Fungiacyathus (Bathyactis) pliciseptus
Fungiacyathus pusilluspacificus,NA,NA
Fungiacyathus pusilluspusillus,NA,NA
Fungiacyathus sandoi,NA,Fungiacyathus (Fungiacyathus) sandoi
Fungiacyathus sibogae,NA,Fungiacyathus (Bathyactis) sibogae
Fungiacyathus turbinolioides,NA,Fungiacyathus (Bathyactis) turbinolioides
Madrepora arbuscula,NA,Madrepora arbuscula
Meandrina braziliensis,NA,Meandrina brasiliensis
Favites valenciennesi,NA,Favites valenciennesii
Montipora lobulata,NA,Montipora lobulata
Oulangia stokesianamiltoni,NA,NA
Oulangia stokesianastokesiana,NA,NA
Paraconotrochus antarctica,NA,Paraconotrochus antarcticus
Paracyathus indicusgracilis,NA,NA
Paracyathus indicusindicus,NA,NA
Phyllangia americanaamericana,NA,NA
Phyllangia americanamouchezii,NA,NA
Porites bernardi,NA,Porites gabonensis
Porites cumulatus,NA,Porites cumulatus
Porites ericacea,NA,NA
Porites excavata,NA,Porites lobata
Psammocora interstinctus,NA,NA
Rhizosmilia multipaliferus,NA,Rhizosmilia multipalifera
Scolymia wellsi,NA,Scolymia wellsii
Sphenotrochus evexicostatus,NA,Sphenotrochus (Sphenotrochus) evexicostatus
Sphenotrochus imbricaticostatus,NA,Sphenotrochus (Sphenotrochus) imbricaticostatus
Sphenotrochus squiresi,NA,Sphenotrochus (Sphenotrochus) squiresi
Stylocoeniella muscosus,NA,NA
Hydnophyllia wilsoni,NA,NA
Trochocyathus aithoseptatus,NA,Trochocyathus (Trochocyathus) aithoseptatus
Trochocyathus apertus,NA,Trochocyathus (Trochocyathus) apertus
Trochocyathus brevispina,NA,Trochocyathus (Aplocyathus) brevispina
Trochocyathus burchae,NA,Trochocyathus (Trochocyathus) burchae
Trochocyathus cepulla,NA,Trochocyathus (Trochocyathus) cepulla
Trochocyathus cooperi,NA,Trochocyathus (Trochocyathus) cooperi
Trochocyathus decamera,NA,Trochocyathus (Trochocyathus) decamera
Trochocyathus discus,NA,Trochocyathus (Trochocyathus) discus
Trochocyathus efateensis,NA,Trochocyathus (Trochocyathus) efateensis
Trochocyathus fossulus,NA,Trochocyathus (Trochocyathus) fossulus
Trochocyathus gardineri,NA,Trochocyathus (Trochocyathus) gardineri
Trochocyathus gordoni,NA,Trochocyathus (Trochocyathus) gordoni
Trochocyathus hastatus,NA,Trochocyathus (Aplocyathus) hastatus
Trochocyathus japonicus,NA,Trochocyathus (Trochocyathus) japonicus
Trochocyathus longispina,NA,Trochocyathus (Aplocyathus) longispina
Trochocyathus maculatus,NA,Trochocyathus (Trochocyathus) maculatus
Trochocyathus mauiensis,NA,Trochocyathus (Trochocyathus) mauiensis
Trochocyathus oahensis,NA,Trochocyathus (Trochocyathus) oahensis
Trochocyathus patelliformis,NA,Trochocyathus (Trochocyathus) patelliformis
Trochocyathus porphyreus,NA,Trochocyathus (Trochocyathus) porphyreus
Trochocyathus semperi,NA,Trochocyathus (Trochocyathus) semperi
Trochocyathus spinosocostatus,NA,Trochocyathus (Trochocyathus) spinosocostatus
Trochocyathus vasiformis,NA,Trochocyathus (Trochocyathus) vasiformis
Truncatoflabellum stokesii,NA,Truncatoflabellum compressum
Truncatoflabellum zulense,NA,Truncatoflabellum zuluense
Pachyseris inattesta,NA,Pachyseris inattesa
Pocillopora solida,NA,Pocillopora solida
Goniopora mauritiensis,NA,Goniopora mauritiensis
Deltocyathus inusitatus,NA,Deltocyathus inusitiatus
