genus,species,name,corallite,shape,max_depth,comment,,,,,,,,,
Acropora,cervicornis,Acropora cervicornis ,1,branching,60,,,,,,,,,,
Acropora,palmata,Acropora palmata ,0.8,branching,40,,,,,,,,,,
Acropora,panamensis,Acropora panamensis ,1.5,caespitose,NA,"Early Miocene shallow-water corals from La Guajira, Colombia: part I, Acroporidae–Montastraeidae",,,,,,,,,
Acropora,saludensis,Acropora saludensis ,2.2,branching,NA,"Early Miocene shallow-water corals from La Guajira, Colombia: part I, Acroporidae–Montastraeidae",,,,,,,,,
Agaricia,grahamae,Agaricia grahamae ,2.9,platy,115,,,,,,,,,,
Agaricia,lamarcki,Agaricia lamarcki ,4.5,platy,76,,,,,,,,,,
Agaricia,undata,Agaricia undata ,2.9,platy,80,,,,,,,,,,
Antillia,dentata,Antillia dentata ,41,solitary,NA,stratigraphic distributions of genera… ,,,,,,,,,
Antillia,dentata,Antillia dentata ,41,solitary,NA,stratigraphic,distributions,of,genera…,,,,,,
Antillophyllia,sawkinsi,Trachyphyllia sawkinsi ,45,solitary,NA,,stratigraphic,distributions,of,genera…,,,,,
Archohelia,limonensis,Archohelia limonensis ,3,branching,NA,,"Vaughan, T. W (1919) Fossil corals from central america, cuba and porto rico, with an account of the american tertiary, pleistocene and recent coral reefs",,,,,,,,
Caulastraea,portoricensis,Caulastraea portoricensis ,9,branching,NA,,,,stratigraphic,distributions,of,genera…,,,
Colpophyllia,amaranthus,Colpophyllia natans ,>15,massive,55,,,,,,,,,,
Colpophyllia,breviserialis,Colpophyllia natans ,>15,massive,55,,,,,,,,,,
Colpophyllia,natans,Colpophyllia natans ,>15,massive,55,,,,,,,,,,
Dendrogyra,cylindrus,Dendrogyra cylindrus ,10,massive,25,,,,,,,,,,
Dichocoenia,caloosahatcheensis,Dichocoenia caloosahatcheensis ,10,platy,NA,,,,,,,,,,
Dichocoenia,eminens,Dichocoenia eminens ,10,platy,NA,,,,,,,,,,
Dichocoenia,stellaris,Dichocoenia stokesii ,10,massive,72,,,,,,,,,,
Dichocoenia,stokesi,Dichocoenia stokesii ,10,massive,72,,,,,,,,,,
Dichocoenia,tuberosa,Dichocoenia tuberosa ,3,massive,NA,,stratigraphic,distributions,of,genera…,,,,,
Diploria,clivosa,Pseudodiploria clivosa ,5,massive,NA,,2:,stratigraphic,distributions,of,genera,,,,
Diploria,labyrinthiformis,Diploria labyrinthiformis ,10,massive,43,,2:,stratigraphic,distributions,of,genera,,,,
Diploria,sarasotana,Diploria sarasotana ,10,massive,NA,,2:,stratigraphic,distributions,of,genera,,,,
Diploria,strigosa,Pseudodiploria strigosa ,10,massive,NA,,,,,,,,,,
Diploria,zambensis,Pseudodiploria strigosa ,10,massive,NA,,,,,,,,,,
Eusmilia,fastigiata,Eusmilia fastigiata ,15,branching,65,,1:,Use,of,fractal,dimensions,to,quantify,coral,shape
Favia,dominicensis,Favia dominicensis ,10,massive,NA,,,,,,,,,,
Favia,fragum,Favia fragum ,5,massive,20,,,,,,,,,,
Favia,maoadentrensis,Favia maoadentrensis ,5,massive,NA,,,,,,,,,,
Favia,vokesae,Favia vokesae ,5,encrusting,NA,,,,,,,,,,
Galaxea,excelsa,Galaxea excelsa ,5.4,massive,NA,,stratigraphic,distributions,of,genera…,,,,,
Gardineroseris,planulata,Gardineroseris planulata ,4.9,massive,20,,,,,,,,,,
Goniopora,calhounensis,Goniopora calhounensis ,5,massive,NA,,stratigraphic,distributions,of,genera…,,,,,
Goniopora,hilli,Goniopora hilli ,10,massive,NA,,,,,,,,,,
Goniopora,imperatoris,Goniopora imperatoris ,10,massive,NA,,,,,,,,,,
Hadrophyllia,saundersi,Hadrophyllia saundersi ,>15,freeliving,NA,,,,,,,,,,
Helioseris,cucullata,Helioseris cucullata ,4.6,platy,40,,,,,,,,,,
Isophyllastrea,rigida,Isophyllia rigida ,20,massive,20,,,,,,,,,,
Isophyllia,sinuosa,Isophyllia sinuosa ,11.2,massive,20,,ctdb,,,,,,,,
Isopora,curacaoensis,Isopora curacaoensis ,5,branching,NA,,"FIRST RECORD OF THE INDO-PACIFIC REEF CORALGENUSISOPORAIN THE CARIBBEAN REGION: TWONEW SPECIES FROM THE NEOGENE OF CURAC ̧AO,NETHERLANDS ANTILLES",,,,,,,,
Isopora,ginsburgi,Isopora ginsburgi ,2,cuneiform,NA,,"FIRST RECORD OF THE INDO-PACIFIC REEF CORALGENUSISOPORAIN THE CARIBBEAN REGION: TWONEW SPECIES FROM THE NEOGENE OF CURAC ̧AO,NETHERLANDS ANTILLES",,,,,,,,
Leptoseris,cailleti,Leptoseris cailleti ,2.3,branching,150,,,stratigraphic,distributions,of,genera,,,,
Leptoseris,gardineri,Leptoseris gardineri ,4.7,"branching, digitate",70,,,,,,,,,,
Leptoseris,glabra,Leptoseris glabra ,5.2,laminar,44,,"stratigraphic distributions of genera, 2: ctdb",,,,,,,,
Agaricia,undata,Agaricia undata ,2.9,laminar,80,,,,"1:stratigraphic distributions of genera, 2: ctdb",,,,,,
Montastraea-ann,annularis,Orbicella annularis ,3.5,massive,82,,stratigraphic,distributions,of,genera,,,,,
Montastraea,brevis,Montastraea brevis ,3.8,massive,NA,,,,stratigraphic,distributions,of,genera,,,
Montastraea-ann,faveolata,Orbicella faveolata ,2.7,massive,40,,,,,,,,,,
Montastraea-ann,franksi,Orbicella franksi ,3.5,massive,50,,,,,,,,,,
Montastraea-ann,limbata,Orbicella limbata ,10,massive,NA,,,,,,,,,,
Montastraea,trinitatis,Montastraea trinitatis ,3.5,massive,NA,,,,,,,,,,
Montastraea-cav,canalis,Montastraea canalis ,8,massive,NA,,"Early Miocene shallow-water corals from La Guajira, Colombia: part I, Acroporidae–Montastraeidae , 2: stratigraphic distributions of genera ",,,,,,,,
Montastraea-cav,cavernosa,Montastraea cavernosa ,7.2,massive,113,,stratigraphic,distributions,of,genera,,,,,
Montastraea-cav,cylindrica,Montastraea cylindrica ,5,platy,NA,,,,,,,,,,
Montastraea-cav,endothecata,Montastraea cavernosa ,9,massive,113,,2:,stratigraphic,distributions,of,genera,,,,
Madracis,asperula,Madracis asperula ,3,branching,64,,,,,,,,,,
Madracis,cf.herricki,Madracis herricki ,3,branching,NA,,,,,,,,,,
Madracis,decactis,Madracis decactis ,1.9,encrusting,98,,,,,,,,,,
Madracis,decaseptata,Madracis decaseptata ,1.7,branching,NA,,,,,,,,,,
Madracis,mirabilis,Madracis auretenra ,1.6,branching,40,,,,,,,,,,
Madracis,pharensis,Madracis pharensis ,0.6,encrusting,99,,,,,,,,,,
Madracis,sp.A,Madracis,1.5,branching,NA,,,,,,,,,,
Manicina,aff.mayori,Manicina areolata ,15,massive,65,,,,,,,,,,
Manicina,areolata,Manicina areolata ,15,massive,65,,,,,,,,,,
Manicina,geisteri,Manicina geisteri ,>15,freeliving,NA,,,,,,,,,,
Manicina,grandis,Manicina grandis ,15,massive,NA,,,,,,,,,,
Manicina,jungi,Manicina jungi ,15,freeliving,NA,,,,,,,,,,
Manicina,mayori,Manicina areolata ,>15,massive,65,,,,,,,,,,
Manicina,pliocenica,Manicina pliocenica ,15,freeliving,NA,,,,,,,,,,
Manicina,puntagordensis,Manicina puntagordensis ,>15,freeliving,NA,,,,,,,,,,
Meandrina,braziliensis,Meandrina brasiliensis ,20,massive,15,,,,,,,,,,
Meandrina,meandrites,Meandrina meandrites ,14,massive,80,,,,,,,,,,
Mussa,angulosa,Mussa angulosa ,7,branching,30,,,,,,,,,,
Mussismilia,aff.hartti,Mussismilia harttii ,30,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Mycetophyllia,aliciae,Mycetophyllia aliciae ,20,platy,85,,,,,,,,,,
Mycetophyllia,bullbrooki,Mycetophyllia bullbrooki ,20,platy,NA,,,,,,,,,,
Mycetophyllia,danaana,Mycetophyllia danaana ,20,platy,30,,,,,,,,,,
Mycetophyllia,ferox,Mycetophyllia ferox ,20,platy,30,,,,,,,,,,
Mycetophyllia,lamarckiana,Mycetophyllia lamarckana ,20,platy,75,,,,,,,,,,
Mycetophyllia,reesi,Mycetophyllia reesi ,20,platy,76,,,,,,,,,,
Porites-mass,aff.astreoides,Porites astreoides ,1.4,massive,70,,2:,stratigraphic,distributions,of,genera,,,,
Porites-mass,astreoides,Porites astreoides ,1.4,massive,70,,2:,stratigraphic,distributions,of,genera,,,,
Porites-mass,macdonaldi,Porites macdonaldi ,1.6,platy,NA,,,,,,,,,,
Porites-mass,portoricensis,Porites portoricensis ,1.8,branching,NA,,,,,,,,,,
Porites-mass,waylandi,Porites waylandi ,1.6,massive,NA,,,,,,,,,,
Porites-br,baracoaensis,Porites baracoaensis ,<1.2,intermediate branched,NA,,,,,,,,,,
Porites-br,branneri,Porites branneri ,1.8,encrusting,3,,,,,,,,,,
Porites-br,colonensis,Porites colonensis ,2,platy,25,,,,,,,,,,
Porites-br,convivatoris,Porites convivatoris,1.4,encrusting,NA,,,,,,,,,,
Porites-br,divaricata,Porites divaricata,1.6,branching,47,,,,,,,,,,
Porites-br,furcata,Porites furcata,1.8,intermediate branched,50,,,,,,,,,,
Porites-br,porites,Porites porites,2,branching,35,,,,,,,,,,
Pironastrea,anguillensis,Pironastraea anguillensis,NA,massive,NA,,,2: strati,,,,,,,
Placocyathus,alveolus,Placocyathus alveolus,NA,freeliving,NA,"ZooxanthellatescleractiniancoralsoftheBowdenshellbed,southeastJamaica",,,,,,,,,
Placocyathus,barretti,Placocyathus barretti,NA,freeliving,NA,"ZooxanthellatescleractiniancoralsoftheBowdenshellbed,southeastJamaica",,,,,,,,,
Placocyathus,costatus,Placocyathus costatus,NA,freeliving,NA,"ZooxanthellatescleractiniancoralsoftheBowdenshellbed,southeastJamaica",,,,,,,,,
Placocyathus,trinitatis,Antillocyathus trinitatis,NA,massive,NA,,,,,,,,,,
Placocyathus,variabilis,Placocyathus variabilis,NA,freeliving,NA,"ZooxanthellatescleractiniancoralsoftheBowdenshellbed,southeastJamaica",,,,,,,,,
Pocillopora,arnoldi,Pocillopora arnoldi,1.2,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Pocillopora,baracoaensis,Pocillopora baracoaensis,0.8,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Pocillopora,crassoramosa,Pocillopora crassoramosa,1,branching,NA,,,,,,,,,,
Psammocora,trinitatis,Psammocora trinitatis,3,massive,NA,,stratigraphic,distributions,of,genera,,,,,
Scolymia,cubensis,Scolymia cubensis,>20,massive,92,,solitary,coral,,,,,,,
Scolymia,lacera,Scolymia lacera,>20,massive,80,,solitary,coral,,,,,,,
Siderastrea,mendenhalli,Siderastrea mendenhalli,NA,NA,NA,,,,,,,,,,
Siderastrea,radians,Siderastrea radians,3.5,massive,3,,,,,,,,,,
Siderastrea,siderea,Siderastrea siderea,5,massive,8.5,,,,,,,,,,
Siderastrea,silecensis,Siderastrea silecensis,6.5,massive,NA,,stratigraphic,distributions,of,genera,,,,,
Solenastrea,bournoni,Solenastrea bournoni,2.5,massive,30,,,,,,,,,,
Solenastrea,hyades,Solenastrea hyades,10,massive,40,,,,,,,,,,
Stephanocoenia,duncani,Stephanocoenia duncani,2,massive,NA,,,,,,,,,,
Stephanocoenia,intersepta,Stephanocoenia intersepta,>2,massive,100,,,,,,,,,,
Stephanocoenia,spongiformis,Stephanocoenia spongiformis,2,massive,NA,,,,,,,,,,
Stylophora,aff.portobellensis,Stylophora portobellensis,NA,NA,NA,,,,,,,,,,
Stylophora,affinis,Stylophora affinis,1,branching,NA,,,,,,,,,,
Stylophora,granulata,Stylophora granulata,1,branching,NA,,,,,,,,,,
Stylophora,imperatoris,Stylophora imperatoris,>1,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Stylophora,minor,Stylophora minor,0.7,branching,NA,,,,,,,,,,
Stylophora,monticulosa,Stylophora monticulosa,1,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Stylophora,panamensis,Stylophora affinis,<1.0,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Thysanus,corbicula,Thysanus corbicula,15,freeliving,NA,,,,,,,,,,
Thysanus,crassicostatus,Hadrophyllia saundersi ,NA,massive,NA,,2:,stratigraphic,distributions,of,genera,,,,
Thysanus,excentricus,Thysanus excentricus,15,massive,NA,,2:,stratigraphic,distributions,of,genera,,,,
Thysanus,navicula,Thysanus navicula,15,freeliving,NA,,,,,,,,,,
Trachyphyllia,bilobata,Trachyphyllia bilobata,60,massive,NA,,stratigraphic,distributions,of,genera,,,,,
Undaria,agaricites,Agaricia agaricites,3.1,branching,75,,,,,,,,,,
Undaria,crassa,Agaricia agaricites,3,platy,75,,,,,,,,,,
Undaria,pusilla,Undaria pusilla,1.9,encrusting,NA,,stratigraphic,distributions,of,genera,,,,,
Undaria,sp.A,Agaricia,4.3,platy,NA,,,,,,,,,,
