sp,new,extinct,source,notes,accepted,extinct.final,accepted.name,corallite,source1,shape,source2
Acropora cervicornis,Acropora cervicornis,extant,pbdb,NA,yes,extant,,1,NMITA,branching,NMITA
Acropora palmata,Acropora palmata,extant,pbdb,NA,yes,extant,,0.8,NMITA,branching,NMITA
Acropora panamensis,Acropora panamensis,extinct,worms,NA,yes,extinct,,,,,
Acropora prolifera,Acropora prolifera,extant,worms,NA,yes,extant,,,,,
Acropora saludensis,Acropora saludensis,extinct,worms,NA,yes,extinct,,,,,
Agaricia grahamae,Agaricia grahamae,NA,pbdb,NA,yes,extant,,2.9,NMITA,platy,NMITA
Agaricia lamarcki,Agaricia lamarcki,NA,pbdb,NA,yes,extant,,4.5,NMITA,platy,NMITA
Agaricia undata,Agaricia undata,NA,pbdb,NA,yes,extant,,2.9,NMITA,platy,NMITA
Agathiphyllia hilli,Agathiphyllia hilli,extinct,pbdb,NA,yes,extinct,,,,,
Alveopora tampae,Alveopora tampae,extinct,worms,NA,yes,extinct,,,,,
Antiguastrea cellulosa,Antiguastrea cellulosa,extinct,worms,NA,yes,extinct,,,,,
Antillia dentata,Antillia dentata,extinct,worms,NA,yes,extinct,,,,,
Antillia gregorii,NA,NA,NA,last discussed in Johnson and Kirby (2006),yes,extinct,,,,,
Antillophyllia sawkinsi,Trachyphyllia sawkinsi,extinct,pbdb,NA,yes,extinct,,,,,
Archohelia limonensis,Archohelia limonensis,extinct,worms,NA,yes,extinct,,,,,
Astreopora goethalsi,Astreopora goethalsi,extinct,worms,NA,yes,extinct,,,,,
Astrocoenia incrustans,Astrocoenia incrustans,extinct,pbdb,NA,yes,extinct,,,,,
Caulastraea portoricensis,NA,NA,NA,NA,yes,extinct,Caulastraea portoricensis,10,NMITA,branching,NMITA
Cladocora arbuscula,Cladocora arbuscula,NA,pbdb,NA,yes,extant,,,,,
Cladocora johnsoni,Cladocora johnsoni,NA,pbdb,NA,yes,extinct,,,,,
Colpophyllia amaranthus,Colpophyllia natans,extant,pbdb,unaccepted in worms,yes,extant,Colpophyllia natans,>15,NMITA,massive,NMITA
Colpophyllia breviserialis,Colpophyllia natans,NA,pbdb,unaccepted in worms,yes,extant,Colpophyllia natans,>15,NMITA,massive,NMITA
Colpophyllia natans,Colpophyllia natans,NA,pbdb,NA,yes,extant,,>15,NMITA,massive,NMITA
Dendrogyra cylindricus,NA,NA,NA,"unaccepted in worms,  could be D. cylindrus but original widely used in Caribbean literature",yes,extant,,10,NMITA,massive,NMITA
Dichocoenia caloosahatcheensis,Dichocoenia caloosahatcheensis,NA,pbdb,NA,yes,extinct,,10,NMITA,massive or platy,NMITA
Dichocoenia eminens,Dichocoenia eminens,NA,pbdb,NA,yes,extinct,,10,NMITA,massive,NMITA
Dichocoenia stellaris,Dichocoenia stokesii,NA,pbdb,unaccepted in worms,yes,extant,Dichocoenia stokesii,10,NMITA,massive or platy,NMITA
Dichocoenia stokesi,Dichocoenia stokesii,extant,pbdb,unaccepted in worms,yes,extant,Dichocoenia stokesii,,,,
Dichocoenia tuberosa,Dichocoenia tuberosa,NA,pbdb,NA,yes,extinct,,,,,
Diploria adentrensis,NA,NA,NA,"only two Google hits,  probably a nomen dubium",no,NA,,,,,
Diploria clivosa,Pseudodiploria clivosa,extant,pbdb,unaccepted in worms,yes,extant,Pseudodiploria clivosa,5,NMITA,V-shaped,NMITA
Diploria labyrinthiformis,Diploria labyrinthiformis,extant,pbdb,NA,yes,extant,,10,NMITA,U-shaped,NMITA
Diploria sarasotana,Diploria sarasotana,NA,pbdb,NA,yes,extinct,,10,NMITA,V-shaped,NMITA
Diploria strigosa,Pseudodiploria strigosa,extant,pbdb,unaccepted in worms,yes,extant,Pseudodiploria strigosa,10,NMITA,V-shaped,NMITA
Diploria zambensis,Diploria zambensis,NA,pbdb,NA,yes,extinct,,10,NMITA,U-shaped,NMITA
Eusmilia fastigiata,Eusmilia fastigiata,NA,pbdb,NA,yes,extant,,,,,
Favia dominicensis,Favia dominicensis,extinct,pbdb,NA,yes,extinct,,10,NMITA,U-shaped,NMITA
Favia fragum,Favia fragum,NA,pbdb,NA,yes,extant,,5,NMITA,U-shaped,NMITA
Favia vokesae,Favia vokesae,NA,pbdb,NA,yes,extinct,,5,NMITA,U-shaped,NMITA
Galaxea excelsa,Galaxea excelsa,extinct,pbdb,NA,yes,extinct,,,,,
Gardineroseris planulata,Gardineroseris planulata,extant,pbdb,NA,yes,extant,,4.9,NMITA,massive,NMITA
Goniastrea canalis,Goniastrea canalis,extinct,worms,NA,yes,extinct,,,,,
Goniopora calhounensis,Goniopora calhounensis,extinct,pbdb,NA,yes,extinct,,,,,
Goniopora hilli,Goniopora hilli,extinct,worms,NA,yes,extinct,,10,NMITA,massive,NMITA
Goniopora imperatoris,Goniopora imperatoris,extinct,worms,NA,yes,extinct,,10,NMITA,massive,NMITA
Goniopora panamensis,Goniopora panamensis,extinct,worms,NA,yes,extinct,,,,,
Hadrophyllia saundersi,Hadrophyllia saundersi,extinct,pbdb,NA,yes,extinct,,>15,NMITA,V-shaped,NMITA
Helioseris cucullata,Leptoseris cucullata,extant,pbdb,NA,yes,extant,,4.6,NMITA,platy,NMITA
Isophyllastrea rigida,Isophyllia rigida,extant,pbdb,unaccepted in worms,yes,extant,Isophyllia rigida,20,NMITA,massive,NMITA
Isophyllia sinuosa,Isophyllia sinuosa,extant,pbdb,NA,yes,extant,,,,,
Leptoseris anguillensis,Leptoseris anguillensis,extinct,pbdb,NA,yes,extinct,,,,,
Leptoseris cailleti,Leptoseris cailleti,NA,worms,NA,yes,extant,,,,,
Leptoseris gardineri,Leptoseris gardineri,extant,pbdb,NA,yes,extant,,4.7,NMITA,"branching, digitate",NMITA
Leptoseris glabra,Leptoseris glabra,NA,pbdb,NA,yes,extant,,,,,
Leptoseris walli,Leptoseris walli,NA,pbdb,NA,yes,extinct,,,,,
Madracis asperula,Madracis asperula,extant,pbdb,NA,yes,extant,,3,NMITA,branching to nodular,NMITA
Madracis cf.herricki,Madracis herricki,NA,NA,NA,yes,extinct,Madracis herricki,3,NMITA,branching to nodular,NMITA
Madracis decactis,Madracis decactis,NA,pbdb,NA,yes,extant,,1.9,NMITA,encrusting and branching,NMITA
Madracis decaseptata,Madracis decaseptata,extinct,pbdb,NA,yes,extinct,,1.7,NMITA,branching,NMITA
Madracis formosa,Madracis formosa,NA,worms,NA,yes,extant,,1.3,NMITA,branching,NMITA
Madracis mirabilis,Madracis mirabilis,NA,pbdb,unaccepted in worms - ignore for now,yes,extant,,1.6,NMITA,branching,NMITA
Madracis pharensis,Madracis pharensis,extant,pbdb,NA,yes,extant,,< 0.6 ,NMITA,encrusting,NMITA
Manicina areolata,Manicina areolata,extant,pbdb,NA,yes,extant,,15,NMITA,U-shaped,NMITA
Manicina geisteri,Manicina geisteri,NA,pbdb,NA,yes,extinct,,>15,NMITA,V-shaped,NMITA
Manicina grandis,Manicina grandis,extinct,worms,NA,yes,extinct,,15,NMITA,U-shaped,NMITA
Manicina jungi,Manicina jungi,NA,pbdb,NA,yes,extinct,,15,NMITA,U-shaped,NMITA
Manicina mayori,Manicina areolata,extant,pbdb,NA,yes,extant,,> 15,NMITA,U-shaped,NMITA
Manicina puntagordensis,Manicina puntagordensis,NA,pbdb,NA,yes,extinct,,> 15,NMITA,V-shaped,NMITA
Meandrina braziliensis,Meandrina brasiliensis,NA,NA,NA,yes,extant,Meandrina brasiliensis,20,NMITA,platy or massive,NMITA
Meandrina meandrites,Meandrina meandrites,NA,pbdb,NA,yes,extant,,14,NMITA,massive,NMITA
Montastraea annularis,Orbicella annularis,extant,pbdb,unaccepted in worms,yes,extant,Orbicella annularis,,,,
Montastraea brevis,Montastraea brevis,NA,pbdb,NA,yes,extinct,Montastraea brevis,,,,
Montastraea canalis,Montastraea canalis,extinct,worms,NA,yes,extinct,,,,,
Montastraea cavernosa,Montastraea cavernosa,extant,worms,NA,yes,extant,,,,,
Montastraea cavernosa,Montastraea cavernosa,extant,worms,NA,yes,extant,,,,,
Montastraea cylindrica,Montastraea cylindrica,extant,pbdb,treated as valid in Florez et al. (2019),yes,extinct,,5,NMITA,platy or rounded mounds,NMITA
Montastraea endothecata,Montastraea cavernosa,extinct,pbdb,unaccepted in worms,yes,extant,Montastraea cavernosa,9,NMITA,rounded mounds,NMITA
Montastraea faveolata,Orbicella faveolata,extant,pbdb,unaccepted in worms,yes,extant,Orbicella faveolata,2.7,NMITA,massive,NMITA
Montastraea franksi,Orbicella franksi ,extant,pbdb,unaccepted in worms,yes,extant,Orbicella franksi ,3.5,NMITA,massive,NMITA
Montastraea imperatoris,Montastrea imperatoris,extant,pbdb,NA,yes,extant,,,,,
Montastraea limbata,Orbicella limbata,extant,pbdb,accepted as Orbicella limbata in Florez et al. (2019),yes,extinct,Orbicella limbata,10,NMITA,massive,NMITA
Montastraea limbata,Orbicella limbata,extant,pbdb,accepted as Orbicella limbata in Florez et al. (2019),yes,extinct,Orbicella limbata,,,,
Montastraea limbata,Orbicella limbata,extant,pbdb,check repeated entry,yes,extinct,Orbicella limbata,,,,
Montastraea limbata,Orbicella limbata,extant,pbdb,check repeated entry,yes,extinct,Orbicella limbata,,,,
Montastraea tampaensis,Montastrea tampaensis,NA,pbdb,NA,yes,extinct,,,,,
Montastraea trinitatis,Montastraea trinitatis,NA,pbdb,NA,yes,extinct,Montastraea trinitatis,,,,
Mussa angulosa,Mussa angulosa,NA,pbdb,NA,yes,extant,,7,NMITA,branching,NMITA
Mussismilia hartti,Mussismilia hartii,NA,NA,NA,yes,extant,Mussismilia hartii,,,,
Mussismilia hispida,Mussismilia hispida,extant,pbdb,NA,yes,extant,,,,,
Mycetophyllia aliciae,Mycetophyllia aliciae,NA,pbdb,NA,yes,extant,,20,NMITA,platy or massive,NMITA
Mycetophyllia bullbrooki,Mycetophyllia bullbrooki,NA,pbdb,NA,yes,extinct,,20,NMITA,platy or massive,NMITA
Mycetophyllia danaana,Mycetophyllia danaana,extant,pbdb,NA,yes,extant,,20,NMITA,platy,NMITA
Mycetophyllia ferox,Mycetophyllia ferox,NA,pbdb,NA,yes,extant,,20,NMITA,platy,NMITA
Mycetophyllia lamarckiana,Mycetophyllia lamarckiana,NA,pbdb,unaccepted in worms, but ignore spelling error for now,yes,extant,,,,
Mycetophyllia reesi,Mycetophyllia reesi,extant,pbdb,NA,yes,extant,,,,,
Pavona panamensis,Pavona panamensis,extinct,worms,NA,yes,extinct,,,,,
Pavona pennyi,Pavona pennyi,NA,pbdb,NA,yes,extinct,,,,,
Pavona trinitatis,Pavona trinitatis,NA,pbdb,NA,yes,extinct,,,,,
Pironastrea anguillensis,Pironastrea anguillensis,extinct,pbdb,NA,yes,extinct,,,,,
Placocyathus alveolus,Placocyathus alveolus,extinct,worms,NA,yes,extinct,,,,,
Placocyathus barretti,Placocyathus barretti,extinct,worms,NA,yes,extinct,,,,,
Placocyathus costatus,Placocyathus costatus,extinct,worms,NA,yes,extinct,,,,,
Placocyathus trinitatis,Antillocyathus trinitatis,extinct,pbdb,NA,yes,extinct,,,,,
Placocyathus variabilis,Placocyathus variabilis,extinct,worms,NA,yes,extinct,,,,,
Pocillopora arnoldi,Pocillopora arnoldi,extinct,worms,NA,yes,extinct,,,,,
Pocillopora baracoaensis,Pocillopora baracoaensis,extinct,worms,NA,yes,extinct,,,,,
Pocillopora crassoramosa,Pocillopora crassoramosa,NA,pbdb,taxon inquirendum in worms,yes,extinct,,,,,
Pocillopora palmata,Pocillopora palmata,extinct,pbdb,unaccepted in worms. Last publication formally describing is Toth et al. (2015). Synonym in worms is Easter Pacific. Consider valid and extinct for now.,yes,extinct,,,,,
Pocillopora portoricensis,NA,NA,NA,only in NMITA, consider valid and extinct,yes,extinct,,,,
Porites anguillensis,Porites anguillensis,extinct,worms,NA,yes,extinct,,,,,
Porites astreoides,Porites astreoides,NA,pbdb,NA,yes,extant,,,,,
Porites baracoaensis,Porites baracoaensis,extinct,worms,NA,yes,extinct,,,,,
Porites branneri,Porites branneri,NA,pbdb,NA,yes,extant,,,,,
Porites chipolanum,Porites chipolanum,extinct,pbdb,NA,yes,extinct,,,,,
Porites colonensis,Porites colonensis,NA,pbdb,NA,yes,extant,,,,,
Porites convivatoris,Porites convivatoris,NA,pbdb,NA,yes,extinct,,,,,
Porites divaricata,Porites divaricata,NA,pbdb,NA,yes,extant,,,,,
Porites furcata,Porites furcata,NA,pbdb,NA,yes,extant,,,,,
Porites macdonaldi,Porites macdonaldi,extinct,worms,NA,yes,extinct,,,,,
Porites porites,Porites porites,NA,pbdb,NA,yes,extant,,,,,
Porites portoricensis,Porites portoricensis,extinct,worms,NA,yes,extinct,,,,,
Porites trinitatis,Porites trinitatis,NA,pbdb,NA,yes,extinct,,,,,
Porites waylandi,Porites waylandi,extinct,worms,NA,yes,extinct,,,,,
Psammocora trinitatis,Psammocora trinitatis,NA,pbdb,NA,yes,extinct,,,,,
Scolymia cubensis,Scolymia cubensis,extant,pbdb,NA,yes,extant,,,,,
Scolymia lacera,Scolymia lacera,extant,pbdb,NA,yes,extant,,,,,
Siderastrea conferta,Siderastrea conferta,extinct,worms,NA,yes,extinct,,,,,
Siderastrea mendenhalli,Siderastrea mendenhalli,extinct,worms,NA,yes,extinct,,,,,
Siderastrea pliocenica,Siderastrea pliocenica,extinct,worms,NA,yes,extinct,,,,,
Siderastrea radians,Siderastrea radians,extinct,pbdb,NA,yes,extinct,,,,,
Siderastrea siderea,Siderastrea siderea,NA,pbdb,NA,yes,extant,,,,,
Siderastrea silecensis,Siderastrea silecensis,NA,pbdb,NA,yes,extinct,,,,,
Solenastrea bournoni,Solenastrea bournoni,extant,worms,NA,yes,extant,,,,,
Solenastrea hyades,Solenastrea hyades,extant,worms,NA,yes,extant,,,,,
Stephanocoenia duncani,Stephanocoenia duncani,NA,pbdb,NA,yes,extinct,,,,,
Stephanocoenia intersepta,Stephanocoenia intersepta,extant,worms,NA,yes,extant,,,,,
Stephanocoenia spongiformis,Stephanocoenia spongiformis,NA,pbdb,unaccepted in worms, accepted as valid in Florez et al. (2019),yes,extinct,,,,
Stylophora affinis,Stylophora affinis,extinct,worms,NA,yes,extinct,,,,,
Stylophora affinis,Stylophora affinis,extinct,worms,NA,yes,extinct,,,,,
Stylophora canalis,Stylophora canalis,extinct,worms,NA,yes,extinct,,,,,
Stylophora granulata,Stylophora granulata,extinct,worms,NA,yes,extinct,,,,,
Stylophora imperatoris,Stylophora imperatoris,extinct,worms,NA,yes,extinct,,,,,
Stylophora minor,Stylophora minor,extinct,worms,NA,yes,extinct,,,,,
Stylophora monticulosa,Stylophora monticulosa,extinct,pbdb,NA,yes,extinct,,,,,
Stylophora panamensis,Stylophora affinis,NA,pbdb,unaccepted in worms,yes,extinct,Stylophora affinis,,,,
Stylophora undata,Stylophora undata,extinct,pbdb,NA,yes,extinct,,,,,
Thysanus corbicula,Thysanus corbicula,extinct,pbdb,NA,yes,extinct,,,,,
Thysanus excentricus,Thysanus excentricus,extinct,worms,NA,yes,extinct,,,,,
Thysanus navicula,Thysanus navicula,extinct,pbdb,NA,yes,extinct,,,,,
Trachyphyllia bilobata,Trachyphyllia bilobata,extant,pbdb,NA,yes,extant,,,,,
Undaria agaricites,Agaricia agaricites,extant,pbdb,unaccepted in worms,yes,extant,Agaricia agaricites,,,,
Undaria crassa,Agaricia agaricites,extant,pbdb,NA,yes,extant,Agaricia agaricites,,,,
Undaria pusilla,Agaricia tenuifolia,NA,NA,a variant of A. tenuifolia,yes,extant,Agaricia tenuifolia,,,,
