"sp","iucn","corallite","branching","budding","family","integration","max_depth","branching","range"
"Echinopora mammiformis","Near Threatened",8.9,"LB","extra","Merulinidae",3,15,"LB","5719.24640065089"
"Echinopora pacifica","Near Threatened",4.6,"MB","extra","Merulinidae",3,15,"MB","6561.70337269824"
"Echinopora robusta","Vulnerable",8.6,"NB","extra","Merulinidae",3,25,"NB","3861.84610046756"
"Echinopora tiranensis","Data Deficient",3.5,"LB","extra","Merulinidae",3,15,"LB","0"
"Fimbriaphyllia ancora","Vulnerable",45,"NB","intra","Euphylliidae",7,30,"NB","12130.0106237153"
"Euphyllia cristata","Vulnerable",25,"NB","intra","Euphylliidae",7,35,"NB","9086.2093226937"
"Fimbriaphyllia divisa","Near Threatened",22,"NB","intra","Euphylliidae",7,35,"NB","9086.2093226937"
"Euphyllia glabrescens","Near Threatened",8,"NB","intra","Euphylliidae",7,35,"NB","16338.9079820367"
"Fimbriaphyllia paraancora","Vulnerable",30,"NB","intra","Euphylliidae",7,30,"NB","3423.26574358925"
"Fimbriaphyllia paradivisa","Vulnerable",45,"NB","intra","Euphylliidae",7,72,"NB","2292.49787883543"
"Euphyllia paraglabrescens","Vulnerable",51,"NB","intra","Euphylliidae",7,15,"NB","0"
"Fimbriaphyllia yaeyamensis","Near Threatened",25.2,"NB","intra","Euphylliidae",7,30,"NB","9.50453877449036e-05"
"Eusmilia fastigiata","Least Concern",20.9,"NB","intra","Meandrinidae",2,65,"NB","4169.53275523781"
"Dipsastraea albida","Near Threatened",8.3,"NB","intra","Merulinidae",3,10,"NB","67.0311111333986"
"Dipsastraea danai","Least Concern",9.2,"NB","intra","Merulinidae",3,20,"NB","16607.4309497244"
"Dipsastraea favus","Least Concern",6.5,"NB","intra","Merulinidae",3,50,"NB","17602.4436543652"
"Favia fragum","Least Concern",5.8,"NB","intra","Faviidae",3,30,"NB","15224.7767336443"
"Dipsastraea helianthoides","Near Threatened",9,"NB","intra","Merulinidae",3,20,"NB","14268.6550693605"
"Dipsastraea lacuna","Near Threatened",9.8,"NB","intra","Merulinidae",3,15,"NB","5062.5764551366"
"Dipsastraea laxa","Near Threatened",5.8,"NB","intra","Merulinidae",3,25,"NB","17602.4436543652"
"Mussismilia leptophylla","Data Deficient",5,"NB","intra","Faviidae",3,NA,"NB","75.4117736930796"
"Dipsastraea lizardensis","Near Threatened",16.7,"NB","intra","Merulinidae",3,20,"NB","12561.1366795575"
"Dipsastraea maritima","Near Threatened",18.8,"NB","intra","Merulinidae",3,30,"NB","13127.3261049538"
"Dipsastraea marshae","Near Threatened",19.3,"NB","intra","Merulinidae",3,15,"NB","2452.03135284579"
"Dipsastraea matthaii","Near Threatened",8.8,"NB","intra","Merulinidae",3,40,"NB","19852.4437386166"
"Dipsastraea pallida","Least Concern",6.8,"NB","intra","Merulinidae",3,50,"NB","19821.4292557355"
"Dipsastraea rosaria","Vulnerable",9.3,"LB","intra","Merulinidae",3,20,"LB","5848.0294568474"
"Dipsastraea rotumana","Least Concern",8.8,"NB","intra","Merulinidae",3,30,"NB","18728.7117467512"
"Favites rotundata","Near Threatened",21.2,"NB","both","Merulinidae",4,20,"NB","13760.8201657223"
"Dipsastraea speciosa","Least Concern",9.9,"NB","intra","Merulinidae",3,45,"NB","19478.489989422"
"Goniastrea stelligera","Near Threatened",5.1,"NB","both","Merulinidae",4,40,"NB","19860.9470737691"
"Dipsastraea truncata","Least Concern",9,"NB","intra","Merulinidae",3,20,"NB","12239.9308609649"
"Dipsastraea veroni","Near Threatened",17.5,"NB","intra","Merulinidae",3,25,"NB","13134.4576399255"
"Dipsastraea vietnamensis","Near Threatened",4.8,"NB","intra","Merulinidae",3,20,"NB","12065.0078371875"
"Favites abdita","Near Threatened",7.5,"NB","both","Merulinidae",4,50,"NB","17602.4436543652"
"Favites acuticollis","Near Threatened",9.3,"NB","both","Merulinidae",4,20,"NB","11842.0590551959"
"Favites chinensis","Near Threatened",7.5,"NB","both","Merulinidae",4,20,"NB","14109.0095667626"
"Favites complanata","Near Threatened",8,"NB","both","Merulinidae",4,50,"NB","17788.0681156481"
"Favites flexuosa","Near Threatened",18.8,"NB","both","Merulinidae",4,20,"NB","17602.4436543652"
"Favites halicora","Near Threatened",16.8,"NB","both","Merulinidae",4,55,"NB","17602.4436543652"
"Favites micropentagonus","Near Threatened",5.2,"NB","both","Merulinidae",4,20,"NB","12370.8025547874"
"Favites paraflexuosus","Near Threatened",16.2,"NB","both","Merulinidae",4,20,"NB","11629.7860837624"
"Favites pentagona","Least Concern",8.5,"NB","both","Merulinidae",4,50,"NB","17787.3716132262"
"Paramontastraea peresi","Near Threatened",5,"NB","extra","Merulinidae",3,40,"NB","5565.86851148411"
"Paragoniastrea russelli","Near Threatened",6,"NB","intra","Merulinidae",7,25,"NB","18088.8445116945"
"Favites spinosa","Vulnerable",8.2,"NB","both","Merulinidae",4,10,"NB","8531.6151027843"
"Favites stylifera","Near Threatened",6.8,"NB","both","Merulinidae",4,20,"NB","14329.4452254305"
"Favites vasta","Near Threatened",17.5,"NB","both","Merulinidae",4,20,"NB","10422.3193424976"
"Lithophyllon concinna","Least Concern",160,"NB","intra","Fungiidae",5,50,"NB","18505.7937382562"
"Danafungia scruposa","Least Concern",111,"NB","","Fungiidae",0,55,"NB","19300.0221077447"
"Cycloseris costulata","Least Concern",76,"NB","intra","Fungiidae",0,30,"NB","16767.2062745742"
"Cycloseris curvata","Vulnerable",81,"NB","intra","Fungiidae",0,73,"NB","19178.2041240224"
"Cycloseris cyclolites","Least Concern",35.7,"NB","intra","Fungiidae",0,40,"NB","17602.4436543652"
"Cycloseris distorta","Least Concern",40,"NB","intra","Fungiidae",0,85,"NB","18812.8166116689"
"Fungia fungites","Near Threatened",158,"NB","extra","Fungiidae",0,50,"NB","19116.9171649487"
"Pleuractis granulosa","Least Concern",120,"NB","","Fungiidae",0,60,"NB","17787.3716132262"
"Sinuorota hexagonalis","Least Concern",29,"NB","","Fungiidae",0,25,"NB","17931.1526590046"
"Danafungia horrida","Least Concern",204,"NB","","Fungiidae",0,25,"NB","18505.7937382562"
"Pleuractis moluccensis","Least Concern",160,"NB","","Fungiidae",0,30,"NB","18566.5962295334"
"Pleuractis paumotensis","Least Concern",235,"NB","","Fungiidae",0,40,"NB","19640.5948297163"
"Lithophyllon repanda","Least Concern",150,"NB","intra","Fungiidae",5,40,"NB","19125.1965093775"
"Lithophyllon scabra","Least Concern",78,"NB","intra","Fungiidae",5,24,"NB","12627.9445758412"
"Lobactis scutaria","Least Concern",169,"NB","intra","Fungiidae",5,40,"NB","19125.1965093775"
"Pleuractis seychellensis","Vulnerable",88.8,"NB","","Fungiidae",0,25,"NB","3861.84610046756"
"Cycloseris sinensis","Least Concern",54.8,"NB","intra","Fungiidae",0,40,"NB","18920.0858586813"
"Cycloseris somervillei","Least Concern",135.2,"NB","intra","Fungiidae",0,35,"NB","11883.0733722154"
"Pleuractis taiwanensis","Vulnerable",193,"NB","","Fungiidae",0,35,"NB",NA
"Cycloseris vaughani","Least Concern",58.5,"NB","intra","Fungiidae",0,36,"NB","19777.314780572"
"Galaxea acrhelia","Vulnerable",5.4,"MB","intra","Euphylliidae",3,15,"MB","7064.05263653439"
"Galaxea astreata","Vulnerable",3.7,"NB","intra","Euphylliidae",3,55,"NB","15268.7374519772"
"Galaxea cryptoramosa","Vulnerable",4.6,"MB","intra","Euphylliidae",3,15,"MB","9.50453877449036e-05"
"Galaxea fascicularis","Near Threatened",5.8,"NB","intra","Euphylliidae",3,22,"NB","17133.6392786364"
"Galaxea horrescens","Least Concern",2.9,"MB","intra","Euphylliidae",3,25,"MB","7111.59095266788"
"Galaxea longisepta","Near Threatened",7.6,"LB","intra","Euphylliidae",3,20,"LB","3013.52140396122"
"Galaxea paucisepta","Near Threatened",3.1,"LB","intra","Euphylliidae",3,20,"LB","5287.44215523074"
"Gardineroseris planulata","Least Concern",5,"NB","intra","Agariciidae",6,40,"NB","19590.1807584334"
"Coelastrea aspera","Least Concern",8.5,"NB","intra","Merulinidae",4,15,"NB","18088.8445116945"
"Paragoniastrea australensis","Least Concern",8.5,"NB","intra","Merulinidae",7,40,"NB","19706.0949385064"
"Goniastrea columella","Near Threatened",17.5,"NB","both","Merulinidae",4,15,"NB","3861.84610046756"
"Paragoniastrea deformis","Vulnerable",8.8,"NB","intra","Merulinidae",7,20,"NB","3861.84610046756"
"Goniastrea edwardsi","Least Concern",5,"NB","both","Merulinidae",4,30,"NB","17602.4436543652"
"Goniastrea favulus","Near Threatened",7.5,"NB","both","Merulinidae",4,15,"NB","18078.0981198944"
"Goniastrea minuta","Near Threatened",5.9,"NB","both","Merulinidae",4,15,"NB","11630.735762867"
"Coelastrea palauensis","Near Threatened",18.8,"NB","intra","Merulinidae",4,30,"NB","12578.4190695623"
"Goniastrea pectinata","Least Concern",5,"NB","both","Merulinidae",4,40,"NB","19887.3862240915"
"Goniastrea ramosa","Vulnerable",7.4,"LB","both","Merulinidae",4,15,"LB","3936.6972651576"
"Goniastrea retiformis","Least Concern",6.5,"NB","both","Merulinidae",4,20,"NB","18789.7124516841"
"Goniastrea thecata","Near Threatened",8.4,"NB","both","Merulinidae",4,15,"NB","5062.5764551366"
"Goniopora albiconus","Vulnerable",3.2,"LB","extra","Poritidae",4,30,"LB","3861.84610046756"
"Goniopora burgosi","Vulnerable",1.7,"NB","extra","Poritidae",4,30,"NB","12361.95659229"
"Goniopora cellulosa","Vulnerable",4.1,"NB","extra","Poritidae",4,20,"NB",NA
"Goniopora ciliatus","Least Concern",3.8,"MB","extra","Poritidae",4,30,"MB","4794.74701299405"
"Goniopora columna","Near Threatened",3.7,"MB","extra","Poritidae",4,15,"MB","15404.0856207253"
"Goniopora djiboutiensis","Least Concern",4.7,"MB","extra","Poritidae",4,58,"MB","14060.459173197"
"Goniopora eclipsensis","Least Concern",3.1,"MB","extra","Poritidae",4,20,"MB","4987.6833753104"
"Goniopora fruticosa","Least Concern",3.7,"LB","extra","Poritidae",4,25,"LB","12761.4996856338"
"Goniopora lobata","Near Threatened",4.6,"MB","extra","Poritidae",4,30,"MB","14088.3467841936"
"Goniopora pedunculata","Near Threatened",2.5,"LB","extra","Poritidae",4,50,"LB","16994.2762650077"
"Goniopora norfolkensis","Least Concern",2.4,"LB","extra","Poritidae",4,30,"LB","12210.5799641676"
"Goniopora palmensis","Least Concern",2.4,"NB","extra","Poritidae",4,20,"NB","5475.21850247806"
"Goniopora pandoraensis","Least Concern",2.7,"MB","extra","Poritidae",4,20,"MB","7331.67469512537"
"Goniopora pearsoni","Least Concern",3.3,"NB","extra","Poritidae",4,NA,"NB","0"
"Goniopora pendulus","Least Concern",5.6,"NB","extra","Poritidae",4,20,"NB","6556.14806663746"
"Goniopora planulata","Vulnerable",3.1,"MB","extra","Poritidae",4,20,"MB","13277.3626301352"
"Goniopora savignyi","Least Concern",2.2,"MB","extra","Poritidae",4,20,"MB","7365.02259318502"
"Goniopora somaliensis","Least Concern",3.1,"LB","extra","Poritidae",4,60,"LB","16610.9239735216"
"Goniopora stokesi","Near Threatened",4.7,"MB","extra","Poritidae",4,30,"MB","13269.8388189383"
"Goniopora sultani","Least Concern",7.8,"MB","extra","Poritidae",4,20,"MB","0"
"Goniopora tenella","Near Threatened",2.9,"LB","extra","Poritidae",4,30,"LB","7156.89533384972"
"Gyrosmilia interrupta","Least Concern",8.1,"NB","intra","Euphylliidae",6,30,"NB","5491.59957991243"
"Halomitra clavator","Vulnerable",5.3,"NB","intra","Fungiidae",5,25,"NB","3937.72747211277"
"Sandalolitha dentata","Least Concern",3.5,"NB","intra","Fungiidae",5,25,"NB","13388.3892693286"
"Halomitra pileus","Least Concern",4.8,"NB","intra","Fungiidae",5,25,"NB","17907.4017660664"
"Heliofungia actiniformis","Vulnerable",142,"NB","intra","Fungiidae",0,25,"NB","13919.7209866134"
"Helioseris cucullata","Least Concern",4.6,"LB","intra","Agariciidae",7,90,"MB","4517.26734158185"
"Horastrea indica","Vulnerable",7.3,"NB","intra","Coscinaraeidae",4,40,"NB","4728.76663571256"
"Hydnophora bonsai","Endangered",4.5,"LB","intra","Merulinidae",3,15,"LB",NA
"Hydnophora exesa","Near Threatened",4.5,"NB","intra","Merulinidae",3,55,"NB","17629.7342533557"
"Hydnophora grandis","Least Concern",4.7,"LB","intra","Merulinidae",3,25,"LB","8669.00935801488"
"Hydnophora microconos","Near Threatened",7.2,"NB","intra","Merulinidae",3,35,"NB","17732.368659002"
"Hydnophora pilosa","Least Concern",8,"MB","intra","Merulinidae",3,30,"MB","15341.5228973807"
"Hydnophora rigida","Least Concern",6.7,"MB","intra","Merulinidae",3,40,"MB","16542.624288645"
"Isophyllia rigida","Least Concern",9.2,"NB","intra","Faviidae",5,20,"NB","2940.19157433076"
"Isophyllia sinuosa","Least Concern",9.2,"NB","intra","Faviidae",5,20,"NB","3065.7907701725"
"Leptastrea aequalis","Vulnerable",2.8,"LB","extra","Scleractinia incertae sedis",4,20,"LB","14269.1154261893"
"Leptastrea bewickensis","Near Threatened",4.2,"LB","extra","Scleractinia incertae sedis",4,20,"LB","7639.70214527432"
"Leptastrea bottae","Near Threatened",3.5,"LB","extra","Scleractinia incertae sedis",4,30,"LB","19875.081954237"
"Leptastrea inaequalis","Near Threatened",4.1,"NB","extra","Scleractinia incertae sedis",4,20,"NB","13258.2534702432"
"Leptastrea purpurea","Least Concern",3.6,"LB","extra","Scleractinia incertae sedis",4,40,"LB","19891.8828699287"
"Leptastrea transversa","Least Concern",9.2,"LB","extra","Scleractinia incertae sedis",4,50,"LB","19861.8440124288"
"Leptoria irregularis","Vulnerable",6.3,"LB","intra","Merulinidae",6,20,"LB","10666.4060925716"
"Leptoria phrygia","Near Threatened",3.5,"NB","intra","Merulinidae",6,30,"NB","18686.7319923592"
"Leptoseris amitoriensis","Near Threatened",3.7,"MB","intra","Agariciidae",5,30,"MB","3336.60444662736"
"Leptoseris cailleti","Least Concern",3.5,"MB","intra","Agariciidae",5,150,"MB","2084.361481274"
"Leptoseris explanata","Least Concern",4,"MB","intra","Agariciidae",5,70,"MB","13864.2029579955"
"Leptoseris foliosa","Least Concern",1.4,"MB","intra","Agariciidae",5,30,"MB","19689.7350903169"
"Leptoseris gardineri","Least Concern",2.5,"MB","intra","Agariciidae",5,70,"MB","10966.9981174172"
"Leptoseris hawaiiensis","Vulnerable",4.4,"LB","intra","Agariciidae",5,165,"LB","18885.312308313"
"Leptoseris mycetoseroides","Least Concern",4.4,"MB","intra","Agariciidae",5,80,"MB","18478.189232551"
"Leptoseris papyracea","Least Concern",4.4,"MB","intra","Agariciidae",5,89,"MB","19125.8217959355"
"Leptoseris scabra","Least Concern",6.3,"LB","intra","Agariciidae",5,127,"LB","18851.7011162386"
"Leptoseris solida","Least Concern",3.8,"LB","intra","Agariciidae",5,70,"LB","18505.7937382562"
"Leptoseris striata","Near Threatened",4,"LB","intra","Agariciidae",5,103,"LB","3080.71151464521"
"Leptoseris tubulifera","Least Concern",2.5,"LB","intra","Agariciidae",5,70,"LB","18056.3871767011"
"Leptoseris yabei","Vulnerable",3.7,"MB","intra","Agariciidae",5,74,"MB","18048.6717983075"
"Lithophyllon undulatum","Near Threatened",5.1,"LB","intra","Fungiidae",5,20,"LB","7155.10623535994"
"Cycloseris mokai","Least Concern",7.5,"NB","intra","Fungiidae",0,27,"NB","12802.0719576234"
"Lobophyllia corymbosa","Least Concern",47.5,"NB","intra","Lobophylliidae",2,40,"NB","17640.1967408784"
"Lobophyllia dentata","Vulnerable",32.6,"NB","intra","Lobophylliidae",2,10,"NB","3741.87394186434"
"Lobophyllia diminuta","Vulnerable",42.5,"NB","intra","Lobophylliidae",2,10,"NB","7409.32758659643"
"Lobophyllia flabelliformis","Vulnerable",59.5,"NB","intra","Lobophylliidae",2,30,"NB","12131.7962493007"
"Lobophyllia hataii","Least Concern",30,"NB","intra","Lobophylliidae",2,40,"NB","12198.7241064498"
"Lobophyllia hemprichii","Least Concern",26.8,"NB","intra","Lobophylliidae",2,50,"NB","19898.5214603725"
"Acanthastrea pachysepta","Near Threatened",32.6,"NB","both","Lobophylliidae",3,30,"NB","13054.8744745652"
"Lobophyllia robusta","Least Concern",47.5,"NB","intra","Lobophylliidae",2,40,"NB","12408.2485418105"
"Lobophyllia serrata","Endangered",40.2,"NB","intra","Lobophylliidae",2,15,"NB","2456.59226160032"
"Madracis decactis","Least Concern",2.2,"LB","extra","Pocilloporidae",3,98,"LB","11461.2993433849"
"Madracis formosa","Least Concern",1.6,"MB","extra","Pocilloporidae",3,40,"MB","3895.68382825811"
"Madracis kirbyi","Least Concern",2.6,"LB","extra","Pocilloporidae",3,60,"LB","13272.3675126916"
"Madracis senaria","Least Concern",1.8,"LB","extra","Pocilloporidae",3,30,"LB","849.59630734325"
"Manicina areolata","Least Concern",8.8,"NB","intra","Faviidae",7,65,"NB","13744.1934228182"
"Meandrina meandrites","Least Concern",13.5,"NB","intra","Meandrinidae",6,80,"NB","17194.2945815903"
"Merulina ampliata","Least Concern",6.2,"MB","intra","Merulinidae",6,50,"MB","18661.8467732102"
"Merulina scabricula","Least Concern",3.5,"MB","intra","Merulinidae",6,40,"MB","11860.6929452162"
"Merulina scheeri","Least Concern",8.2,"LB","intra","Merulinidae",6,45,"LB",NA
"Goniopora diminuta","Data Deficient",4,"NB","extra","Poritidae",4,15,"NB",NA
"Orbicella annularis","Endangered",3.8,"NB","extra","Merulinidae",3,82,"NB","4234.20344724965"
"Astrea annuligera","Near Threatened",6.3,"LB","extra","Merulinidae",3,30,"LB","17602.4436543652"
"Favites colemani","Near Threatened",7.8,"LB","both","Merulinidae",4,20,"LB","12319.4347557628"
"Astrea curta","Least Concern",9.3,"NB","extra","Merulinidae",3,45,"NB","19099.0114196809"
"Favites magnistellata","Near Threatened",5.1,"NB","both","Merulinidae",4,30,"NB","13510.7978131778"
"Micromussa multipunctata","Vulnerable",9.3,"LB","both","Lobophylliidae",3,15,"LB",NA
"Paramontastraea salebrosa","Vulnerable",4.7,"NB","extra","Merulinidae",3,20,"NB","6812.61449333731"
"Paramontastraea serageldini","Vulnerable",5,"NB","extra","Merulinidae",3,25,"NB","3861.84610046756"
"Montigyra kenti","Data Deficient",32,"NB","intra","Euphylliidae",5,NA,"NB",NA
"Montipora aequituberculata","Least Concern",0.9,"MB","extra","Acroporidae",3,43,"MB","19737.0883254558"
"Montipora altasepta","Vulnerable",0.8,"HB","extra","Acroporidae",3,10,"HB","5137.05609471588"
"Montipora angulata","Vulnerable",1.3,"MB","extra","Acroporidae",3,20,"MB","11241.3624068618"
"Montipora aspergillus","Data Deficient",0.8,"MB","extra","Acroporidae",3,10,"MB","0"
"Montipora australiensis","Vulnerable",0.9,"MB","extra","Acroporidae",3,30,"MB","4712.34941906511"
"Montipora cactus","Vulnerable",1.2,"LB","extra","Acroporidae",3,20,"LB","5638.18717001991"
"Montipora calcarea","Vulnerable",0.9,"LB","extra","Acroporidae",3,20,"LB","13068.3846651619"
"Montipora caliculata","Vulnerable",1,"NB","extra","Acroporidae",3,20,"NB","18519.7158999489"
"Montipora capitata","Near Threatened",1,"LB","extra","Acroporidae",3,70,"LB","15387.3990552632"
"Montipora capricornis","Vulnerable",1,"MB","extra","Acroporidae",3,20,"MB","8911.0319533327"
"Montipora cebuensis","Vulnerable",0.8,"MB","extra","Acroporidae",3,20,"MB","5750.65621112934"
"Montipora circumvallata","Least Concern",0.6,"LB","extra","Acroporidae",3,20,"LB","3861.84610046756"
"Montipora cocosensis","Vulnerable",1.4,"NB","extra","Acroporidae",3,15,"NB","321.659535246689"
"Montipora confusa","Near Threatened",0.7,"LB","extra","Acroporidae",3,30,"LB","7313.05099761568"
"Montipora corbettensis","Vulnerable",0.8,"LB","extra","Acroporidae",3,20,"LB","4698.04826956728"
"Montipora crassituberculata","Vulnerable",1.5,"MB","extra","Acroporidae",3,20,"MB","9768.90761369789"
"Montipora cryptus","Near Threatened",0.7,"LB","extra","Acroporidae",3,20,"LB","5894.35584067765"
"Montipora danae","Least Concern",1.4,"MB","extra","Acroporidae",3,50,"MB","17654.8576784923"
"Montipora delicatula","Vulnerable",0.6,"MB","extra","Acroporidae",3,15,"MB","5235.14683731663"
"Montipora digitata","Least Concern",0.9,"HB","extra","Acroporidae",3,5,"HB","15268.7374519772"
"Montipora dilatata","Endangered",1.2,"LB","extra","Acroporidae",3,10,"LB","121.679600496285"
"Montipora efflorescens","Near Threatened",1.2,"NB","extra","Acroporidae",3,20,"NB","18078.0981198944"
"Montipora effusa","Near Threatened",0.8,"NB","extra","Acroporidae",3,20,"NB","16144.0806329363"
"Montipora flabellata","Vulnerable",0.2,"MB","extra","Acroporidae",3,10,"MB","4201.54062342158"
"Montipora florida","Vulnerable",0.8,"MB","extra","Acroporidae",3,20,"MB","6760.07669148998"
"Montipora floweri","Least Concern",0.9,"NB","extra","Acroporidae",3,35,"NB","18473.7417404588"
"Montipora foliosa","Near Threatened",0.9,"MB","extra","Acroporidae",3,47,"MB","17405.4132482202"
"Montipora foveolata","Near Threatened",2.9,"NB","extra","Acroporidae",3,25,"NB","18519.7158999489"
"Montipora friabilis","Vulnerable",1,"MB","extra","Acroporidae",3,20,"MB","9706.32093861364"
"Montipora gaimardi","Vulnerable",0.8,"LB","extra","Acroporidae",3,15,"LB","2456.58843532455"
"Montipora grisea","Least Concern",1.2,"NB","extra","Acroporidae",3,20,"NB","18519.7158999489"
"Montipora hemispherica","Data Deficient",0.9,"LB","extra","Acroporidae",3,20,"LB","0"
"Montipora hispida","Near Threatened",1.4,"LB","extra","Acroporidae",3,40,"HB","17560.0570075763"
"Montipora hodgsoni","Vulnerable",0.6,"MB","extra","Acroporidae",3,20,"MB","4912.6651389687"
"Montipora hoffmeisteri","Least Concern",1.1,"LB","extra","Acroporidae",3,40,"LB","11590.3859576992"
"Montipora incrassata","Near Threatened",1.4,"LB","extra","Acroporidae",3,30,"LB","19766.6091002166"
"Montipora informis","Least Concern",1.3,"NB","extra","Acroporidae",3,20,"NB","17787.3716132262"
"Montipora kellyi","Data Deficient",0.9,"MB","extra","Acroporidae",3,15,"MB",NA
"Montipora lobulata","Vulnerable",1.3,"NB","extra","Acroporidae",3,20,"NB","10207.7133396456"
"Montipora mactanensis","Vulnerable",0.9,"LB","extra","Acroporidae",3,20,"LB","2374.13368906499"
"Montipora malampaya","Vulnerable",0.7,"LB","extra","Acroporidae",3,15,"LB","3774.00257098437"
"Montipora millepora","Least Concern",8,"LB","extra","Acroporidae",3,55,"LB","19947.9317836383"
"Montipora mollis","Least Concern",0.9,"NB","extra","Acroporidae",3,40,"NB","17629.1657634374"
"Montipora monasteriata","Least Concern",1.1,"MB","extra","Acroporidae",3,40,"MB","17787.3716132262"
"Montipora niugini","Near Threatened",0.7,"LB","extra","Acroporidae",3,35,"LB","1146.83500730344"
"Montipora nodosa","Near Threatened",1.3,"NB","extra","Acroporidae",3,30,"NB","18519.7158999489"
