"fname","youden.train","AUC.train","cutoff.train","youden.test","AUC.test","cutoff.test","cutoff"
"XGBoost_grid__1_AutoML_20200309_103926_model_4",0.645085190039318,0.822542595019659,0.32,0.47948762333391,0.739743811666955,0.3,0.31
"DeepLearning_grid__3_AutoML_20200309_103926_model_6",0.715443425076453,0.857721712538226,0.4,0.454041890254457,0.727020945127229,0.17,0.285
"DeepLearning_grid__3_AutoML_20200309_103926_model_6",0.715443425076453,0.857721712538226,0.4,0.454041890254457,0.727020945127229,0.18,0.29
"DeepLearning_grid__3_AutoML_20200309_103926_model_6",0.715443425076453,0.857721712538226,0.4,0.454041890254457,0.727020945127229,0.19,0.295
"DeepLearning_grid__3_AutoML_20200309_103926_model_6",0.715443425076453,0.857721712538226,0.4,0.454041890254457,0.727020945127229,0.2,0.3
"DeepLearning_grid__3_AutoML_20200309_103926_model_6",0.715443425076453,0.857721712538226,0.4,0.454041890254457,0.727020945127229,0.21,0.305
"XGBoost_grid__1_AutoML_20200309_103926_model_2",0.522782874617737,0.761391437308869,0.28,0.453003288904276,0.726501644452138,0.28,0.28
"GBM_2_AutoML_20200309_103926",0.841939711664482,0.920969855832241,0.32,0.450926086203912,0.725463043101956,0.26,0.29
"StackedEnsemble_BestOfFamily_AutoML_20200309_103926",0.915356050677152,0.957678025338576,0.29,0.442790375627488,0.721395187813744,0.19,0.24
"StackedEnsemble_AllModels_AutoML_20200309_103926",0.817474879860201,0.9087374399301,0.29,0.441751774277306,0.720875887138653,0.26,0.275
"GBM_3_AutoML_20200309_103926",0.853145478374836,0.926572739187418,0.34,0.441232473602216,0.720616236801108,0.26,0.3
"GBM_3_AutoML_20200309_103926",0.853145478374836,0.926572739187418,0.34,0.441232473602216,0.720616236801108,0.27,0.305
"GBM_3_AutoML_20200309_103926",0.853145478374836,0.926572739187418,0.34,0.441232473602216,0.720616236801108,0.28,0.31
"GBM_3_AutoML_20200309_103926",0.853145478374836,0.926572739187418,0.34,0.441232473602216,0.720616236801108,0.29,0.315
"XGBoost_3_AutoML_20200309_103926",0.592114460463084,0.796057230231542,0.28,0.43205816167561,0.716029080837805,0.33,0.305
"XGBoost_1_AutoML_20200309_103926",0.511555264307558,0.755777632153779,0.27,0.43205816167561,0.716029080837805,0.32,0.295
"DeepLearning_grid__1_AutoML_20200309_103926_model_4",0.62258628221931,0.811293141109655,0.39,0.42599965379955,0.712999826899775,0.13,0.26
"XGBoost_grid__1_AutoML_20200309_103926_model_3",0.460419397116645,0.730209698558322,0.35,0.423403150424095,0.711701575212048,0.32,0.335
"XGBoost_grid__1_AutoML_20200309_103926_model_5",0.454346876365225,0.727173438182612,0.32,0.415786740522763,0.707893370261381,0.27,0.295
"XGBoost_grid__1_AutoML_20200309_103926_model_7",0.440126692878986,0.720063346439493,0.27,0.414748139172581,0.70737406958629,0.26,0.265
"XGBoost_grid__1_AutoML_20200309_103926_model_7",0.440126692878986,0.720063346439493,0.27,0.414748139172581,0.70737406958629,0.27,0.27
"DeepLearning_grid__1_AutoML_20200309_103926_model_7",0.438029707295762,0.719014853647881,0.18,0.413709537822399,0.7068547689112,0.18,0.18
"GBM_4_AutoML_20200309_103926",0.860310179117519,0.930155089558759,0.32,0.407131729271248,0.703565864635624,0.16,0.24
"GBM_1_AutoML_20200309_103926",0.927610310179118,0.963805155089559,0.31,0.406612428596157,0.703306214298079,0.18,0.245
"GBM_grid__1_AutoML_20200309_103926_model_2",0.971450415028397,0.985725207514198,0.33,0.406093127921066,0.703046563960533,0.18,0.255
"GBM_grid__1_AutoML_20200309_103926_model_2",0.971450415028397,0.985725207514198,0.34,0.406093127921066,0.703046563960533,0.18,0.26
"GBM_grid__1_AutoML_20200309_103926_model_2",0.971450415028397,0.985725207514198,0.35,0.406093127921066,0.703046563960533,0.18,0.265
"XGBoost_grid__1_AutoML_20200309_103926_model_6",0.428964613368283,0.714482306684142,0.32,0.406093127921066,0.703046563960533,0.32,0.32
"XGBoost_grid__1_AutoML_20200309_103926_model_1",0.444167758846658,0.722083879423329,0.3,0.404535225895794,0.702267612947897,0.29,0.295
"DeepLearning_grid__2_AutoML_20200309_103926_model_1",0.480013106159895,0.740006553079948,0.4,0.398996018694824,0.699498009347412,0.4,0.4
"DeepLearning_grid__1_AutoML_20200309_103926_model_2",0.500174748798602,0.750087374399301,0.31,0.39639951531937,0.698199757659685,0.28,0.295
"XRT_1_AutoML_20200309_103926",0.981651376146789,0.990825688073395,0.41,0.389821706768219,0.694910853384109,0.13,0.27
"XRT_1_AutoML_20200309_103926",0.981651376146789,0.990825688073395,0.41,0.389821706768219,0.694910853384109,0.14,0.275
"GBM_5_AutoML_20200309_103926",0.440083005679336,0.720041502839668,0.26,0.38462870001731,0.692314350008655,0.28,0.27
"GBM_grid__1_AutoML_20200309_103926_model_3",0.439078200087375,0.719539100043687,0.26,0.376492989440886,0.688246494720443,0.26,0.26
"XGBoost_2_AutoML_20200309_103926",0.449301004805592,0.724650502402796,0.28,0.374935087415614,0.687467543707807,0.34,0.31
"XGBoost_2_AutoML_20200309_103926",0.449301004805592,0.724650502402796,0.28,0.374935087415614,0.687467543707807,0.35,0.315
"GBM_grid__1_AutoML_20200309_103926_model_8",0.510484927916121,0.75524246395806,0.3,0.373896486065432,0.686948243032716,0.32,0.31
"GBM_grid__1_AutoML_20200309_103926_model_7",0.485015290519878,0.742507645259939,0.29,0.368876579539553,0.684438289769777,0.29,0.29
"GBM_grid__1_AutoML_20200309_103926_model_1",0.369681083442551,0.684840541721276,0.3,0.366280076164099,0.683140038082049,0.3,0.3
"GLM_1_AutoML_20200309_103926",0.337112276103102,0.668556138051551,0.27,0.366280076164099,0.683140038082049,0.29,0.28
"GBM_grid__1_AutoML_20200309_103926_model_5",0.767474879860201,0.8837374399301,0.33,0.365241474813917,0.682620737406958,0.32,0.325
"GBM_grid__1_AutoML_20200309_103926_model_6",0.530843162953255,0.765421581476627,0.3,0.364722174138826,0.682361087069413,0.3,0.3
"DeepLearning_grid__1_AutoML_20200309_103926_model_3",0.520576671035387,0.760288335517693,0.33,0.364722174138826,0.682361087069413,0.33,0.33
"DeepLearning_grid__1_AutoML_20200309_103926_model_3",0.520576671035387,0.760288335517693,0.33,0.364722174138826,0.682361087069413,0.34,0.335
"DeepLearning_grid__1_AutoML_20200309_103926_model_1",0.469746614242027,0.734873307121014,0.29,0.36074086896313,0.680370434481565,0.28,0.285
"DeepLearning_grid__3_AutoML_20200309_103926_model_2",0.621625163826999,0.810812581913499,0.27,0.348450752985979,0.67422537649299,0.24,0.255
"DeepLearning_grid__3_AutoML_20200309_103926_model_2",0.621625163826999,0.810812581913499,0.27,0.348450752985979,0.67422537649299,0.25,0.26
"DeepLearning_grid__3_AutoML_20200309_103926_model_2",0.621625163826999,0.810812581913499,0.27,0.348450752985979,0.67422537649299,0.26,0.265
"DeepLearning_grid__3_AutoML_20200309_103926_model_10",0.702184359982525,0.851092179991263,0.17,0.347412151635797,0.673706075817899,0.21,0.19
"DRF_1_AutoML_20200309_103926",0.981651376146789,0.990825688073395,0.3,0.336853037908949,0.668426518954475,0.06,0.18
"DRF_1_AutoML_20200309_103926",0.981651376146789,0.990825688073395,0.31,0.336853037908949,0.668426518954475,0.06,0.185
"DeepLearning_grid__2_AutoML_20200309_103926_model_6",0.711446046308432,0.855723023154216,0.25,0.332179331833131,0.666089665916566,0.23,0.24
"GBM_grid__1_AutoML_20200309_103926_model_4",0.977566622979467,0.988783311489734,0.33,0.330621429807859,0.665310714903929,0.28,0.305
"DeepLearning_grid__3_AutoML_20200309_103926_model_9",0.528877238968982,0.764438619484491,0.44,0.323524320581617,0.661762160290808,0.4,0.42
"DeepLearning_grid__3_AutoML_20200309_103926_model_7",0.435015290519878,0.717507645259939,0.19,0.31331140730483,0.656655703652415,0.17,0.18
"DeepLearning_grid__1_AutoML_20200309_103926_model_6",0.430843162953255,0.715421581476627,0.4,0.299636489527436,0.649818244763718,0.15,0.275
"DeepLearning_grid__3_AutoML_20200309_103926_model_8",0.663368283093054,0.831684141546527,0.16,0.298944088627315,0.649472044313658,0.22,0.19
"DeepLearning_grid__1_AutoML_20200309_103926_model_5",0.497356924421145,0.748678462210572,0.17,0.28994287692574,0.64497143846287,0.13,0.15
"DeepLearning_grid__2_AutoML_20200309_103926_model_7",0.508344255133246,0.754172127566623,0.26,0.287346373550286,0.643673186775143,0.16,0.21
"DeepLearning_grid__2_AutoML_20200309_103926_model_4",0.609480122324159,0.804740061162079,0.1,0.285788471525013,0.642894235762506,0.06,0.08
"DeepLearning_grid__2_AutoML_20200309_103926_model_4",0.609480122324159,0.804740061162079,0.1,0.285788471525013,0.642894235762506,0.07,0.085
"DeepLearning_grid__2_AutoML_20200309_103926_model_4",0.609480122324159,0.804740061162079,0.1,0.285788471525013,0.642894235762506,0.08,0.09
"DeepLearning_grid__2_AutoML_20200309_103926_model_4",0.609480122324159,0.804740061162079,0.1,0.285788471525013,0.642894235762506,0.09,0.095
"DeepLearning_grid__2_AutoML_20200309_103926_model_2",0.66135867190913,0.830679335954565,0.19,0.27245975419768,0.63622987709884,0.18,0.185
"DeepLearning_grid__2_AutoML_20200309_103926_model_2",0.66135867190913,0.830679335954565,0.19,0.27245975419768,0.63622987709884,0.19,0.19
"DeepLearning_grid__2_AutoML_20200309_103926_model_5",0.667605941459152,0.833802970729576,0.29,0.266920546996711,0.633460273498356,0.18,0.235
"DeepLearning_1_AutoML_20200309_103926",0.373787680209698,0.686893840104849,0.27,0.266747446771681,0.63337372338584,0.46,0.365
"DeepLearning_grid__2_AutoML_20200309_103926_model_3",0.561533420707733,0.780766710353866,0.36,0.262766141595984,0.631383070797992,0.47,0.415
"DeepLearning_grid__3_AutoML_20200309_103926_model_3",0.523831367409349,0.761915683704675,0.13,0.251687727194045,0.625843863597023,0.08,0.105
"DeepLearning_grid__3_AutoML_20200309_103926_model_5",0.643031891655745,0.821515945827872,0.11,0.24839882291847,0.624199411459235,0.2,0.155
"DeepLearning_grid__3_AutoML_20200309_103926_model_5",0.643031891655745,0.821515945827872,0.11,0.24839882291847,0.624199411459235,0.21,0.16
"DeepLearning_grid__3_AutoML_20200309_103926_model_1",0.38785495849716,0.69392747924858,0.18,0.227799896139865,0.613899948069933,0.17,0.175
"DeepLearning_grid__3_AutoML_20200309_103926_model_4",0.702228047182176,0.851114023591088,0.14,0.210316773411805,0.605158386705903,0.11,0.125
